Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,Prix
Rabat,2021,Automatique,Diesel,104999.5,Volkswagen,Tiguan,5.0,WW au Maroc,Non,8,288000
Ouazzane,2014,Automatique,Diesel,224999.5,Nissan,Qashqai,5.0,WW au Maroc,Non,7,155000
Rabat,2022,Automatique,Essence,62499.5,Nissan,Juke,5.0,WW au Maroc,Oui,7,185000
Casablanca,2016,Automatique,Diesel,184999.5,Land Rover,Range Rover Sport,5.0,WW au Maroc,Non,12,270000
Salé,2014,Manuelle,Diesel,224999.5,Dacia,Dokker,5.0,WW au Maroc,Non,6,95000
Meknès,2016,Manuelle,Diesel,224999.5,Dacia,Duster,5.0,WW au Maroc,Non,6,130000
Salé,2025,Automatique,Diesel,2499.5,Kia,Sportage,5.0,WW au Maroc,Oui,6,298999
Rabat,2024,Automatique,Diesel,7499.5,Hyundai,Tucson,5.0,WW au Maroc,Oui,6,385000
Tétouan,2023,Automatique,Diesel,82499.5,Dacia,Duster,5.0,WW au Maroc,Oui,6,240000
Kénitra,2021,Manuelle,Diesel,114999.5,Ford,Focus,5.0,WW au Maroc,Oui,6,190000
Fès,2020,Automatique,Diesel,114999.5,Audi,Q3,5.0,Dédouanée,Oui,8,485000
Casablanca,2022,Automatique,Diesel,62499.5,Ford,Kuga,5.0,WW au Maroc,Oui,8,344250
Casablanca,2011,Manuelle,Diesel,174999.5,Ford,Fiesta,5.0,WW au Maroc,Non,6,83000
Fès,2015,Manuelle,Diesel,144999.5,Renault,Clio,5.0,WW au Maroc,Non,6,114500
Casablanca,2022,Automatique,Diesel,42499.5,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8,390000
Casablanca,2011,Manuelle,Diesel,224999.5,Ford,Focus,5.0,WW au Maroc,Non,6,123000
Casablanca,2018,Manuelle,Diesel,97499.5,Seat,Leon,5.0,WW au Maroc,Oui,8,195000
Temara,2021,Automatique,Diesel,124999.5,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8,310000
Marrakech,2017,Manuelle,Diesel,194999.5,Citroën,C4,5.0,WW au Maroc,Oui,6,125000
Casablanca,2009,Automatique,Diesel,194999.5,Ssangyong,Kyron,5.0,WW au Maroc,Non,8,80000
Casablanca,2019,Automatique,Diesel,124999.5,Audi,A5,3.0,WW au Maroc,Oui,8,315000
Rabat,2018,Automatique,Diesel,224999.5,Peugeot,508,5.0,WW au Maroc,Non,8,139000
Casablanca,2016,Automatique,Diesel,97499.5,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,6,210000
Marrakech,2019,Automatique,Diesel,114999.5,Jeep,Grand Cherokee,5.0,WW au Maroc,Oui,12,210000
Marrakech,2013,Automatique,Diesel,154999.5,Mini,Countryman,3.0,Importée neuve,Non,8,148000
Marrakech,2018,Automatique,Diesel,87499.5,DS,100,5.0,WW au Maroc,Non,8,265000
Fès,2024,Manuelle,Diesel,32499.5,Dacia,Logan,5.0,WW au Maroc,Oui,6,163000
Casablanca,2022,Automatique,Diesel,42499.5,Volkswagen,Golf 8,5.0,WW au Maroc,Oui,8,317000
